         Curves of the Total Solar Eclipse of 2043 April 09         
+------------------------------------------------------------------+
|                    Rising and Setting Curves                     |
+------------------------------------------------------------------+
|      Time in UT1      |      Latitude      |      Longitude      |
|      20:56:19.81      |     67°23.67'N     |     024°33.18'W     |
|      20:56:00.00      |     69°36.18'N     |     022°04.14'W     |
|      20:55:30.00      |     70°57.92'N     |     020°10.38'W     |
|      20:55:00.00      |     71°57.73'N     |     018°34.30'W     |
|      20:54:30.00      |     72°47.48'N     |     017°04.65'W     |
|      20:54:00.00      |     73°31.04'N     |     015°37.75'W     |
|      20:53:30.00      |     74°10.24'N     |     014°11.79'W     |
|      20:53:00.00      |     74°46.15'N     |     012°45.72'W     |
|      20:52:30.00      |     75°19.41'N     |     011°18.82'W     |
|      20:52:00.00      |     75°50.47'N     |     009°50.53'W     |
|      20:51:30.00      |     76°19.64'N     |     008°20.45'W     |
|      20:51:00.00      |     76°47.16'N     |     006°48.22'W     |
|      20:50:30.00      |     77°13.19'N     |     005°13.52'W     |
|      20:50:00.00      |     77°37.86'N     |     003°36.09'W     |
|      20:49:30.00      |     78°01.28'N     |     001°55.66'W     |
|      20:49:00.00      |     78°23.52'N     |     000°12.01'E     |
|      20:48:30.00      |     78°44.65'N     |     001°35.07'E     |
|      20:48:00.00      |     79°04.69'N     |     003°25.78'E     |
|      20:47:30.00      |     79°23.70'N     |     005°20.28'E     |
|      20:47:00.00      |     79°41.69'N     |     007°18.73'E     |
|      20:46:30.00      |     79°58.68'N     |     009°21.25'E     |
|      20:46:00.00      |     80°14.67'N     |     011°27.93'E     |
|      20:45:30.00      |     80°29.68'N     |     013°38.83'E     |
|      20:45:00.00      |     80°43.70'N     |     015°53.96'E     |
|      20:44:30.00      |     80°56.72'N     |     018°13.29'E     |
|      20:44:00.00      |     81°08.75'N     |     020°36.72'E     |
|      20:43:30.00      |     81°19.77'N     |     023°04.13'E     |
|      20:43:00.00      |     81°29.78'N     |     025°35.28'E     |
|      20:42:30.00      |     81°38.76'N     |     028°09.93'E     |
|      20:42:00.00      |     81°46.72'N     |     030°47.71'E     |
|      20:41:30.00      |     81°53.63'N     |     033°28.24'E     |
|      20:41:00.00      |     81°59.51'N     |     036°11.05'E     |
|      20:40:30.00      |     82°04.36'N     |     038°55.62'E     |
|      20:40:00.00      |     82°08.16'N     |     041°41.40'E     |
|      20:39:30.00      |     82°10.95'N     |     044°27.78'E     |
|      20:39:00.00      |     82°12.72'N     |     047°14.17'E     |
|      20:38:30.00      |     82°13.49'N     |     049°59.95'E     |
|      20:38:00.00      |     82°13.30'N     |     052°44.52'E     |
|      20:37:30.00      |     82°12.15'N     |     055°27.30'E     |
|      20:37:00.00      |     82°10.10'N     |     058°07.76'E     |
|      20:36:30.00      |     82°07.15'N     |     060°45.41'E     |
|      20:36:00.00      |     82°03.37'N     |     063°19.81'E     |
|      20:35:30.00      |     81°58.77'N     |     065°50.60'E     |
|      20:35:00.00      |     81°53.41'N     |     068°17.47'E     |
|      20:34:30.00      |     81°47.32'N     |     070°40.18'E     |
|      20:34:00.00      |     81°40.55'N     |     072°58.55'E     |
|      20:33:30.00      |     81°33.13'N     |     075°12.46'E     |
|      20:33:00.00      |     81°25.11'N     |     077°21.83'E     |
|      20:32:30.00      |     81°16.52'N     |     079°26.65'E     |
|      20:32:00.00      |     81°07.42'N     |     081°26.94'E     |
|      20:31:30.00      |     80°57.82'N     |     083°22.75'E     |
|      20:31:00.00      |     80°47.77'N     |     085°14.15'E     |
|      20:30:30.00      |     80°37.29'N     |     087°01.27'E     |
|      20:30:00.00      |     80°26.43'N     |     088°44.22'E     |
|      20:29:30.00      |     80°15.21'N     |     090°23.13'E     |
|      20:29:00.00      |     80°03.65'N     |     091°58.16'E     |
|      20:28:30.00      |     79°51.79'N     |     093°29.46'E     |
|      20:28:00.00      |     79°39.64'N     |     094°57.17'E     |
|      20:27:30.00      |     79°27.24'N     |     096°21.47'E     |
|      20:27:00.00      |     79°14.59'N     |     097°42.50'E     |
|      20:26:30.00      |     79°01.71'N     |     099°00.41'E     |
|      20:26:00.00      |     78°48.63'N     |     100°15.37'E     |
|      20:25:30.00      |     78°35.36'N     |     101°27.51'E     |
|      20:25:00.00      |     78°21.92'N     |     102°36.96'E     |
|      20:24:30.00      |     78°08.32'N     |     103°43.88'E     |
|      20:24:00.00      |     77°54.56'N     |     104°48.38'E     |
|      20:23:30.00      |     77°40.67'N     |     105°50.59'E     |
|      20:23:00.00      |     77°26.65'N     |     106°50.63'E     |
|      20:22:30.00      |     77°12.51'N     |     107°48.60'E     |
|      20:22:00.00      |     76°58.27'N     |     108°44.62'E     |
|      20:21:30.00      |     76°43.92'N     |     109°38.78'E     |
|      20:21:00.00      |     76°29.48'N     |     110°31.18'E     |
|      20:20:30.00      |     76°14.96'N     |     111°21.90'E     |
|      20:20:00.00      |     76°00.35'N     |     112°11.04'E     |
|      20:19:30.00      |     75°45.67'N     |     112°58.67'E     |
|      20:19:00.00      |     75°30.92'N     |     113°44.86'E     |
|      20:18:30.00      |     75°16.11'N     |     114°29.70'E     |
|      20:18:00.00      |     75°01.24'N     |     115°13.23'E     |
|      20:17:30.00      |     74°46.31'N     |     115°55.54'E     |
|      20:17:00.00      |     74°31.33'N     |     116°36.67'E     |
|      20:16:30.00      |     74°16.30'N     |     117°16.68'E     |
|      20:16:00.00      |     74°01.23'N     |     117°55.64'E     |
|      20:15:30.00      |     73°46.11'N     |     118°33.57'E     |
